date,event,venue,setlist
2025-08-31,"【アイドルマリアージュVol.28～全組30分SP～】","WALL&WALL","SE;01 むげんの☆Lambie;02 HELLO;03 ぽっぽ♪ポジティブ！！;04 MY DREAM MY LIFE;05 乙女ロック;06 ろりぽっぷ!!!!!!!;07 始まりの宴;MC（1本目）"
2025-08-31,"Killer Tune SHIBUYA 2025 Vol.64","GARRET udagawa","SE;01 ろりぽっぷ!!!!!!!;02 SHINY DAYS;03 Say Hello‼︎;04 ぽっぽ♪ポジティブ！！;05 乙女ロック;06 始まりの宴;MC（2本目）"
2025-09-02,"単独ライブvol.6 ワンコインライブ","新宿アイドルステージ","SE;01 乙女ロック;02 BLIND CALL;MC;04 アタックサイン 🆕✨;05 ろりぽっぷ!!!!!!!;06 始まりの宴;07 SHINY DAYS;MC（1️⃣部ワンコインライブ）"
2025-09-02,"単独ライブvol.6 コンセプトライブ","新宿アイドルステージ","セトリ投稿確認できず"
2025-09-07,"那須ハイランドパーク🎡","那須ハイランドパーク","SE;01 ろりぽっぷ!!!!!!!;02 ぽっぽ♪ポジティブ！！;MC;03 乙女ロック;04 始まりの宴;05 SHINY DAYS;MC"
2025-09-09,"BADKNee presentsSUPER REPLiCA主催\"ハッピーレプレプ\"~challenge.22~","大塚Hearts Next","01 MY DREAM MY LIFE;02 乙女ロック;03 Say Hello!!;04 SHINY DAYS;05 BLIND CALL;06 アタックサイン;MC"
2025-09-12,"マリナ・ディライトアニバーサリーイベント「Happy Party MARINAight vol.2 -Marinage-」","目黒鹿鳴館","01 ぽっぽ♪ポジティブ！！;02 推し事 ~女の子アイドルオタクあるある~;03 MY DREAM MY LIFE;04 始まりの宴;05 アタックサイン;06 乙女ロック;MC"
2025-09-13,"『DIZZY JAM』","横浜ビブレ Niigo 広場","SE;01 始まりの宴;MC;02 ぽっぽ♪ポジティブ！！;03 HELLO;04 SHINY DAYS;MC（2本目・野外）"
2025-09-13,"POP IN FESTIVAL 2025","品川ステラボール","SE;01 ろりぽっぷ!!!!!!!;02 推し事〜女の子アイドルオタクあるある〜;03 アタックサイン;MC（1本目）"
2025-09-14,"月花めもり生誕祭2025","青山RizM","SE;01 アタックサイン;02 むげんの☆Lambie;03 MY DREAM MY LIFE;04 ぽっぽ♪ポジティブ！！;MC（2本目）"
2025-09-14,"【アイドルマリアージュVol.25～全組25分SP～】","WALL&WALL","SE;01 HELLO;02 BLIND CALL;MC;03 乙女ロック;04 アタックサイン;05 ろりぽっぷ!!!!!!;MC（1本目）"
2025-09-15,"はなまるっ","浅草VAMPKIN","SE;01 HELLO;02 乙女ロック;03 KAWAIIは正義;04 ろりぽっぷ!!!!!!!;05 Say Hello!!;06 始まりの宴;MC（Vol.103）"
